timestamp,vus,latency_ms,memory_mb,messages_total
0,0.0,13159.12,4.21,40647.0
2,11.0,13155.56,4.76,40658.0
4,27.0,13150.38,5.47,40674.0
6,44.0,13143.92,4.07,40694.0
8,0.0,13114.27,4.81,40786.0
